CXOC J100036.0+022830    77 150.15018  2.475207 0.1   2.13E-03 1.15E-04  2.87E-14 1.54E-15  18.64 160.24  326.3  20.9 161.51  5.21E-04 5.76E-05  2.84E-15 3.14E-16   9.04 157.56   73.8  10.6 159.31  1.64E-03 9.92E-05  4.31E-14 2.60E-15  16.58 165.69  257.6  18.7 166.19   0.52   0.45   0.59 
CXOC J100037.9+022455    78 150.15822  2.415393 0.25  1.25E-03 8.61E-05  1.69E-14 1.16E-15  14.57 163.38  201.2  16.5 166.35  6.85E-04 6.31E-05  3.74E-15 3.44E-16  10.87 161.14  110.8  12.4 164.76  5.75E-04 5.91E-05  1.51E-14 1.55E-15   9.74 167.84   93.8  11.8 169.69  -0.09  -0.2    0.03 
CXOC J100041.7+022410    79 150.17396  2.402939 0.23  3.50E-03 1.41E-04  4.72E-14 1.90E-15  24.84 164.71  519.9  25.4 164.08  2.24E-03 1.12E-04  1.22E-14 6.13E-16  19.9  162.43  346.7  20.9 162.4   1.12E-03 8.07E-05  2.94E-14 2.12E-15  13.87 169.23  175.   15.5 167.54  -0.32  -0.39  -0.25 
CXOC J100043.5+022524    80 150.18146  2.423563 1.36  2.12E-04 3.93E-05  2.86E-15 5.29E-16   5.41 164.36   40.    8.5 166.52  4.85E-05 1.96E-05  2.64E-16 1.07E-16   2.47 162.2     9.1   4.7 165.06  1.66E-04 3.45E-05  4.35E-15 9.06E-16   4.8  168.65   29.8   7.6 169.65   0.38   0.14   0.63 
CXOC J100044.7+022718    81 150.18659  2.455237 0.45  5.14E-04 5.98E-05  6.92E-15 8.06E-16   8.59 160.52   96.1  12.2 162.4   3.03E-04 4.40E-05  1.65E-15 2.40E-16   6.88 158.31   52.6   9.1 160.78  2.31E-04 4.26E-05  6.05E-15 1.12E-15   5.4  164.93   41.9   8.9 165.86  -0.16  -0.33   0.03 
CXOC J100050.0+022453    82 150.20844  2.414714 0.66  1.99E-04 4.15E-05  2.68E-15 5.60E-16   4.79 166.27   45.2   9.2 163.85  1.26E-04 2.99E-05  6.90E-16 1.63E-16   4.23 163.82   29.3   7.2 162.13  7.65E-05 3.04E-05  2.01E-15 7.97E-16   2.52 171.18   15.7   6.6 167.57  -0.34  -0.64  -0.02 
CXOC J100051.4+022830    83 150.21418  2.475118 0.19  6.60E-04 6.63E-05  8.90E-15 8.94E-16   9.96 157.29   66.    9.8  81.38  3.53E-04 4.74E-05  1.93E-15 2.58E-16   7.48 154.62   31.8   7.2  81.02  2.92E-04 4.56E-05  7.67E-15 1.20E-15   6.39 162.69   32.7   7.4  82.08  -0.11  -0.27   0.05 
CXOC J100020.2+021725    84 150.08428  2.290499 0.24  5.43E-04 6.07E-05  7.31E-15 8.18E-16   8.94 160.35   78.7  11.4 161.32  3.26E-04 4.53E-05  1.78E-15 2.47E-16   7.21 158.07   51.2   9.  159.5   1.72E-04 3.82E-05  4.51E-15 1.00E-15   4.51 164.91   25.5   7.7 165.23  -0.33  -0.51  -0.14 
CXOC J100023.1+021734    85 150.0964   2.293039 0.25  5.38E-04 5.82E-05  7.25E-15 7.84E-16   9.25 164.04   96.8  12.1 166.54  2.16E-04 3.63E-05  1.18E-15 1.98E-16   5.96 162.96   42.4   8.3 164.93  3.39E-04 4.65E-05  8.89E-15 1.22E-15   7.29 168.28   57.3   9.8 169.89   0.17  -0.01   0.33 
CXOC J100028.6+021745    86 150.11945  2.295858 0.25  1.52E-03 9.27E-05  2.04E-14 1.25E-15  16.32 163.79  244.4  17.8 162.4   9.88E-04 7.47E-05  5.39E-15 4.07E-16  13.24 161.96  155.2  14.3 160.97  5.23E-04 5.52E-05  1.37E-14 1.45E-15   9.45 167.34   91.7  11.5 165.32  -0.3   -0.4   -0.2  
